actor_name,birth_year,know_for,actor_role,actor_awards
Liza Lapira,1981,"Crazy, Stupid, Love., Fast & Furious: Aún más rápido","Reparto,  Producción,  Banda sonora","ShoWest Convention, USA"
Tony Hale,1970,"Veep, Toy Story 4","Reparto,  Producción,  Guion","American Comedy Awards, USA, Annie Awards"
Erkan Celik,none,"Üç Günlük Dünya, Kafir",Reparto,None
Kaya Godfrey-Simson,none,"Out of Order, Aynen Aynen",Reparto,None
Yilmaz Gruda,2023,"""Istanbulda ask baskadir"", Çalikusu","Reparto,  Guion","Antalya Golden Orange Film Festival, Sadri Alisik Theatre and Cinema Awards"
Burcu Gönder,none,"Neseli Hayat, Hükümet Kadin",Reparto,None
Sila Korkmaz,none,"Üç Günlük Dünya, Fragments from Another World",Reparto,None
Erkan Petekkaya,1970,"Vlad, el Empalador, Ayla: La hija de la guerra","Reparto,  Banda sonora","Pantene Golden Butterfly Awards, Golden Palm Awards"
Levent Ülgen,none,"El cuervo, Kurtulus",Reparto,"Sadri Alisik Theatre and Cinema Awards, International Izmir Film Festival"
Firat Dogruloglu,none,"Lobo, Lobo 2039",Reparto,None
Tolga Güleç,none,"Beni Sev, Eksik Sayfalar",Reparto,None
Çiçek Dilligil,none,"Nefes Nefese, Aci Yillar","Reparto,  Música",None
Melisa Pamuk,1991,"Kilit, Çarpisma","Reparto,  Vestuario","Pantene Golden Butterfly Awards, Turkey Youth Awards"
Emma Deckers,none,,Reparto,None
Ferdi Stofmeel,1982,"Demasiado amor, Rundfunk",Reparto,None
Daphne Deckers,1968,"Alles is zoals het zou moeten zijn, De TV kantine","Reparto,  Guion","Golden and Platin Film, Netherlands"
Oscar Aerts,none,"Vakkenvullers, Odds","Reparto,  Banda sonora",None
Josh Murphy,none,"Dusty, The Junebug Summer","Dirección de fotografía y cámara,  Dirección,  Edición","Ottawa International Short Film Festival, Spring Lane Film Festival"
Noah Lair,none,,Reparto,None
John Gagnon,none,"The Monster Games, Johnny Swift","Reparto,  Producción,  Dirección de fotografía y cámara",None
Samuel Agnew,none,"This is Cinema, Phantom of the School 3","Producción,  Reparto,  Dirección de fotografía y cámara",None
Ethan Pouliot,none,Johnny Swift,"Producción,  Dirección,  Reparto",None
Triptii Dimri,1994,"Bulbbul, Qala",Reparto,"Filmfare Awards, Zee Cine Awards"
Kartik Aaryan,1988,"Luka Chuppi, Freddy","Reparto,  Producción","Filmfare Awards, Awards of the International Indian Film Academy"
Vidya Balan,1979,"The Dirty Picture, Lage Raho Munna Bhai","Reparto,  Producción","Asia-Pacific Film Festival, Filmfare Awards"
Madhuri Dixit,1967,"Devdas, Dedh Ishqiya","Reparto,  Música,  Producción","Filmfare Awards, Awards of the International Indian Film Academy"
Vijay Raaz,1963,"Gully Boy, Delhi Belly","Reparto,  Dirección","Awards of the International Indian Film Academy, Zee Cine Awards"
Shahid Kapoor,1981,"Jab We Met, Udta Punjab","Reparto,  Dirección de la segunda unidad o asistencia a dirección,  Música","Filmfare Awards, Awards of the International Indian Film Academy"
Kriti Sanon,1990,"Mimi, Bareilly Ki Barfi","Reparto,  Producción,  Publicista","Filmfare Awards, Awards of the International Indian Film Academy"
Dharmendra,1935,"Ghayal, Ayee Milan Ki Bela","Reparto,  Producción,  Equipos adicionales","Filmfare Awards, Awards of the International Indian Film Academy"
Dimple Kapadia,1957,"Pathaan, Dil Chahta Hai",Reparto,"Asia-Pacific Film Festival, Filmfare Awards"
Rakesh Bedi,1954,"Tom, Dick, and Harry, Pyar Bhara Dil","Reparto,  Dirección,  Guion","Filmfare Awards, Indian Telly Awards"
Rajkummar Rao,1984,"Newton, Ludo",Reparto,"Filmfare Awards, Awards of the International Indian Film Academy"
Shraddha Kapoor,1987,"Haider, Ek Villain","Reparto,  Música,  Banda sonora","Filmfare Awards, Awards of the International Indian Film Academy"
Pankaj Tripathi,1976,"Stree, Gunjan Saxena: La chica de Kargil",Reparto,"Filmfare Awards, Awards of the International Indian Film Academy"
Aparshakti Khurana,1987,"Dangal, Camino a Bollywood","Reparto,  Música","Filmfare Awards, Zee Cine Awards"
Abhishek Banerjee,1988,"Stree, Bhediya","Dirección de casting,  Reparto,  Casting","Filmfare Awards, Awards of the International Indian Film Academy"
