actor_name,birth_year,known_for,actor_role,actor_awards
Raisa Dmitrenko,none,"Korporatsiya Morozov, Kazhdyy 88",Reparto,None
Elizaveta Dmitrieva,none,"Zataiv dykhanie, Svoi chuzhie rodnye",Reparto,None
Cosmin Nedelcu,none,"Klaus & Barroso, 5Gang: Un Altfel de Craciun","Producción,  Reparto,  Guion","Gopo Awards, Romania"
Adrian Nicolae,none,"Teorema Zero, Klaus & Barroso","Reparto,  Guion,  Dirección",None
Serban Pavlu,1975,"Meda sau Partea nu prea fericita a lucrurilor, Inimi cicatrizate","Reparto,  Casting","Art Film Festival, Sarajevo Film Festival"
Victoria Raileanu,none,"Din Mintea Copiilor, Vlad",Reparto,None
Madalina Craiu,1990,"Remote, Clanul",Reparto,"First Run Festival, Gopo Awards, Romania"
Marina Antonova,none,"Avantyura, Lidiya i Landysh",Reparto,None
Ekaterina Kabak,1990,"Avantyura, Lada Gold",Reparto,None
Maksim Kostromykin,none,"La fortaleza Brest, Al-kapotnya",Reparto,APKIT Awards
Nadezhda Lumpova,none,"Avantyura, Dunay",Reparto,None
Evgenia Romanova,none,"Avantyura, Marsh utrenney zari","Reparto,  Banda sonora",None
Inese Aivazova,none,,Reparto,None
Krista Hotuleva,none,,Reparto,None
Janis Jarans,none,"Viss Norm, Jaunais Norm",Reparto,Latvian National Film Festival
Monta Karklina,none,Limonov: The Ballad of Eddie,Reparto,None
Rudolfs Kozlovskis,none,,Reparto,None
Florence Guérin,none,"El clic, La criada","Reparto,  Decoración",None
Gérard Lecaillon,none,"Association de malfaiteurs, Stella Mantoni, Il Ritorno","Reparto,  Guion",None
Yann Lerat,none,"""Jusquà la lie"", Gecenin Kraliçesi",Reparto,None
Jean-Claude Braganti,none,"Stella Mantoni, Il Ritorno, Le fils préféré",Reparto,None
Annabelle Veltri,none,"""Jusquà la lie"", Stella Mantoni",Reparto,None
Cherie Laurent,none,,"Reparto,  Producción,  Dirección",None
Fahad Alissa,none,,"Reparto,  Guion",None
Bill Christensen,none,"Cringles, Battle Portlandia II: The Voodoo Express","Reparto,  Guion,  Edición",None
Crystal Loverro,1995,"Friday the 13th Vengeance 2: Bloodlines, Spearheading","Reparto,  Producción,  Guion",Couch Film Festival
Laura Welsh,none,"Escaping Freedom, The First Pitch","Reparto,  Producción,  Guion",AltFF Alternative Film Festival
Tom Wright,none,"Thunder Harvest: The Story of a Band, Braces","Reparto,  Composición",None
Thom Adcox-Hernandez,1960,"Alerta máxima 2, La joven Liga de la Justicia",Reparto,None
Eric D'Agostino,none,"Steam Room Stories: The Movie, Kirby Buckets","Reparto,  Guion,  Dirección",None
Rick Simone,none,"Futurequest, Sammy Kingsford: Manager to the Stars","Edición,  Edición,  Reparto","Primetime Emmy Awards, News & Documentary Emmy Awards"
Evangeline Beaven,none,,Reparto,None
Nathalie Codsi,none,"Hello Sunshine, Tick Tick Tick","Reparto,  Equipos adicionales",International Film Festival of Wales
Rick Romero,none,"The Understanding, S.T.I.F.F",Reparto,None
Bradley Lambert,none,,Reparto,None
Meagan McCrary,none,,Reparto,None
Marcus Shaftel,none,,Reparto,None
Rina Lebedeva,none,,Reparto,None
Aleksandra Skachkova,none,"Doch tmy, Slushatel",Reparto,None
Michael Christopher,none,,Reparto,None
Sean Jones,none,Sharks in Colwyn Bay,Reparto,None
Sofia Mavrou,none,"Sharks in Colwyn Bay, Chester Childrens Tour I: Romans to Knights","Reparto,  Dirección,  Guion","Florence Film Awards, ""WRPN Womans International Film Festival"""
Sam Denia,none,,Reparto,None
Liv Heleen Haack,none,,Reparto,None
Nell Marie Haack,none,,Reparto,None
Niklas Leifert,1983,"Die Chaosschwestern und Pinguin Paul, Unexpected",Reparto,None
Ron Beecher,none,,Reparto,None
Kristal Burk,none,,Reparto,None
Kim Grossman,none,,Reparto,None
Sandy Gulliver,1949,"The Alley Cat, What About the Children","Reparto,  Producción,  Casting",Chicago Horror Film Festival
Andy Hart,none,"Odd Jobs, Spoiled Rotten Sweater Vest",Reparto,None
Chloe Joy Ivanson,none,"Payday, Working in the Theatre",Reparto,None
Kyle Bahl,none,"Sleepaway Slasher, Counter Culture Conspiracy","Reparto,  Dirección,  Guion",None
Gabrielle Kalomiris,1996,,"Reparto,  Producción",Accolade Competition
Peter Bowden,none,"What Are We Doing Here, Slave Play. Not a Movie. A Play.",Reparto,None
Monica Park,none,,"Reparto,  Producción",None
Kayla Glenn,none,"Collaborator, Get Some Sleep",Reparto,None
Peter Xiao,none,,"Reparto,  Dirección de casting",None
Anthony Calamia,none,Nato con la camicia,"Reparto,  Dirección,  Guion",None
Maria Paola Cimò,none,Nato con la camicia,"Reparto,  Dirección,  Guion",None
Maria Turchi,none,,Reparto,None
Zeke Nicholson,1989,"Miracle Workers, A.P. Bio","Reparto,  Guion,  Producción",SXSW Film Festival
Gary Anthony Williams,1966,"Batman: El Regreso del Caballero Oscuro. Primera Parte, 2 colgaos muy fumaos","Reparto,  Guion,  Dirección","Dances With Films, Screen Actors Guild Awards"
Carl Tart,none,"La loca historia del mundo - Parte 2, MADtv","Reparto,  Guion,  Producción",None
Laci Mosley,1991,"Yes We Cannabis, El año de las bodas",Reparto,"""Kids Choice Awards, USA"", The Ambies"
Ronnie Adrian,none,"Key and Peele, Our RoboCop Remake","Reparto,  Guion,  Equipos adicionales",None
Seth Thornton,none,"The Last Cowboy, Gina and the G.I.T.","Reparto,  Música",None
Alessandra Santos,none,"Through Eyes Darkly, Borderline",Reparto,None
Demetrio Santa Maria,none,"Cookie Cutter, Sock Gremlins","Reparto,  Cámara y electricidad,  Sonido",None
Jacob Nicholas,none,"In the Static, Root Cause",Reparto,None
Bill Jameson,none,,Reparto,None
Lee Eddy,none,"Apolo 10 1/2: Una infancia espacial, Panic","Reparto,  Guion,  Dirección","Clermont-Ferrand International Short Film Festival, Florida Film Festival"
Macon Blair,1974,"Green Room, Murder Party","Reparto,  Guion,  Dirección","Gotham Awards, Sundance Film Festival"
Lana Dieterich,none,"Vagina dentata, Natural Selection",Reparto,None
Doloris Lynn Garcia,none,,Reparto,None
Ekaterina Cherednik,none,"Cheburashka, Cheburashka. Vykhodnoy",Reparto,None
Sergey Garmash,1958,"Stilyagi, Voroshilovskiy strelok","Reparto,  Guion,  Producción","Grimme Award, Nika Awards"
Zhannat Kerimbayev,none,"Grand, Posledniy bogatyr. Nasledie","Guion,  Reparto,  Producción",None
Olga Kuzmina,none,"Cheburashka, Teatr Luny ili Kosmicheskaya durochka","Reparto,  Producción",None
Natalya Shchukina,none,"Nastya, Prikhodi na menya posmotret",Reparto,None
Nils Vogt,none,"Mot i brøstet, Blodsbånd","Reparto,  Dirección,  Producción","Amanda Awards, Norway, Gullruten"
Raymond Teigen Hauger,none,"Lunch, Sigurd fåkke pult",Reparto,None
Thea Lambrechts Vaulen,none,"Armand, Munch",Reparto,None
Harald Thaulow,none,"Lumbago, Liker Stilen",Reparto,None
Arnt Egil Andreassen,none,"Julekongen, Klara y el ladrón de manzanas","Edición,  Reparto,  Edición",None
