actor_name,birth_year,know_for,actor_role,actor_awards
Andrew McNichol,none,,Reparto,Couch Film Festival
Uvaiz Khan,none,"Mathagam, Rambai Sonna Kadhai",Reparto,None
Nijo,none,Na terra como no céu,Reparto,None
Padmapriya Vijayakumar,none,Testament,"Reparto,  Dirección de arte",None
Dharshini,none,,Reparto,None
Jennifer Budinsky,none,Honesty,"Reparto,  Dirección de la segunda unidad o asistencia a dirección,  Producción",None
Dayna Cornwall,none,,"Reparto,  Guion",None
Matthew Dumouchel,none,,Reparto,None
Grant Jonsson,none,,"Reparto,  Guion,  Sonido",None
David Pike,none,,Reparto,None
Liam Campora,none,,Reparto,None
Liam Donley,none,,Reparto,None
Betty Stolar,none,"For Finley, Mr. Jack","Reparto,  Dirección,  Guion",None
Mike Leahy,none,Home,Reparto,None
Nolan Peters,none,"Home, For Finley",Reparto,None
José Manuel Taracido,none,,Reparto,None
Arturo Sebastiá,none,,Reparto,None
Jorge Morais,none,,Reparto,None
Laura G. Saiz,none,,Reparto,None
Fresco,none,"Nikolai, Duelo",Reparto,None
A.J. Cuelho,none,,Reparto,None
Isabella Montoya,none,"Fallaway, Fight or Flight",Reparto,None
Asher Phoenix,none,Cut Off,"Reparto,  Dirección,  Guion",None
Camryn Adele Portagallo,none,"Fresh Kills, ""Meltdown: A Nuclear Familys Ascension into Madness""","Reparto,  Guion y continuidad,  Guion",None
Nasri Thompson,none,"El juego bonito, Shadow",Reparto,None
Kola Banjo,none,"Malcolm, Monique","Reparto,  Producción",None
Deborah Tracey,none,"Charity Starts at Home, The Archers",Reparto,None
Esther Adesina,none,,Reparto,None
Jackie Tran,none,"Todo a la vez en todas partes, Hunter X Hunter: Gon vs Hisoka","Reparto,  Especialistas,  Producción",None
Cole Chisholm,none,"The Stranded, Avalanches",Reparto,None
Kyra Heenan,none,"Mike, Say What You Want","Reparto,  Equipos adicionales",None
George Triplett,none,"Into That Good Night, 26 Years",Reparto,"Action on Film International Film Festival, USA"
Aidan Driscoll,none,Mike,"Reparto,  Cámara y electricidad",None
Al Friedman,none,,"Reparto,  Dirección,  Guion",None
Chelsee Reign,none,,Reparto,None
Philip Thompson,none,"""Im at Home"", In Love, in Time","Sonido,  Reparto,  Dirección","Athens International Film and Video Festival, Ohio, USA, Brooklyn Film Festival"
Sam Wallington,none,Copper Trail,Reparto,None
Simon Rabatin,none,Living Reality,Reparto,None
Ruby Harvey,none,Living Reality,"Reparto,  Maquillaje",None
Spencer Evett,none,,Reparto,None
