actor_name,birth_year,known_for,actor_role,actor_awards
Leif Rigney,0,0,Reparto,0
Grant Schumer,0,"Texas AF, Cig","Reparto,  Cámara y electricidad,  Equipos adicionales",0
Anil Altan,0,"Hayatimiz Roman, Arka Siradakiler",Reparto,0
Asli Bekiroglu,1995,"Jet Sosyete, Maske: Kimsin Sen?","Reparto,  Banda sonora",Pantene Golden Butterfly Awards
Anil Ilter,0,"Ah Be Birader, Verdad oculta",Reparto,0
Suat Sungur,0,"Kaptan, Pelesenk Ailesi",Reparto,0
Rüçhan Çaliskur,1947,"Zerre, The Family",Reparto,"Istanbul Film Festival, Turkish Film Critics Association (SIYAD) Awards"
Bri Wehman,0,"The Dirty Merkins - Little Wing, The Doctor",Reparto,0
Brandon Walker,0,Katy the Neighborhood Spy,Reparto,0
Devin Hite,0,"Social Creatures, Spinola: Public Enemy",Reparto,0
Ralph Strangis,0,"Social Creatures, Pros and Cons: A Fantasy Football Movie",Reparto,0
Jeff 'Skin' Wade,0,"Social Creatures, Bastards of Soul: Just a Little Bit","Producción,  Reparto,  Música",0
Garland Scott,0,"The Ghost Who Walks, Nyad","Reparto,  Producción,  Dirección","St. Louis Filmmakers Showcase, US, IndieFEST Film Awards"
Darrell Battle,0,"Obsession, Envy",Reparto,0
Rodney J. Hobbs,1972,"First Man, ""Tyler Perrys Young Dylan""","Reparto,  Producción","Conocido/a por, Más de esta persona"
Gabriel Bautista,0,0,"Reparto,  Composición",0
Alejandra Azur,0,"Shadow Cast, Jenni Rivera: Mariposa de Barrio","Reparto,  Efectos especiales,  Dirección de casting",0
Matthew Chizever,0,"Bloodline, Graceland","Reparto,  Especialistas",0
Elizabeth D'Onofrio,0,"Romantic Rewrite, Stepping into Love","Reparto,  Producción,  Dirección",Key West IndieFest
Paul Louis,0,"Army Men, Jelly Bean Jungle","Reparto,  Producción,  Música","Conocido/a por, Más de esta persona"
Hayden Schuster,0,Brooklyn,Reparto,0
July Janssen,1994,"In Love Again, Inner Flame","Reparto,  Guion,  Dirección de la segunda unidad o asistencia a dirección","Florence Film Awards, Milan Gold Awards"
Olaf Ait Tami,0,"Domino, Nieuwe tijden",Reparto,0
Marcelle Arriëns,1991,"Sunny Juliette, Human Superfood","Reparto,  Guion",0
Annabelle Kesseler,0,In Love Again,Reparto,0
Cleo Handler,0,"Routine, #LifeOnAir","Reparto,  Guion,  Producción",0
Candace Janée,0,"Broken Clouds, Prism",Reparto,CinEuphoria Awards
Jeff Lorch,0,"Masters of Sex, ""Pickin & Grinnin""","Reparto,  Guion,  Producción","Los Angeles Reel Film Festival, US, Hollywood Shortsfest"
Levi Jennings,0,0,Reparto,0
Rebecca Miner,0,0,Reparto,0
Noah Gallant,0,0,"Reparto,  Guion,  Dirección",0
Shawna Adams,0,SandCastles,Reparto,0
Jay Nabb,0,"Holidazed, Liquor and Life","Reparto,  Equipos adicionales",0
Ryan Allarde,0,"Dropping the S Bomb, Riptide","Reparto,  Guion,  Dirección",0
