,type,name,release_year,release_month,id_imdb,genre
423,Movie,Statica,2023,3,tt7984562,Action
424,Movie,The Mother,2023,5,tt6968614,Action
425,Movie,Heavy Duty Man,2023,12,tt16429084,Action
426,Movie,Trail Blazers: The Conquest,2023,,tt15716002,Action
427,Movie,Assassin Club,2023,7,tt7720142,Action
428,Movie,End of Loyalty,2023,3,tt15811964,Action
429,Movie,The Old Way,2023,6,tt8593824,Action
430,Movie,Blue Beetle,2023,8,tt9362930,Action
431,Movie,Black Lotus,2023,4,tt15895490,Action
432,Movie,The Color of Greene,2023,1,tt16308356,Action
433,Movie,Drain Away: Is Pure Longing a Sin?,2023,3,tt7995640,Action
434,Movie,The Breeding Frenzy,2023,,tt9788538,Action
435,Movie,Gridman Universe,2023,3,tt16418362,Action
436,Movie,PAW Patrol: The Mighty Movie,2023,10,tt15837338,Action
437,Movie,The One,2023,,tt15769364,Action
438,Movie,Guardians of the Galaxy Vol. 3,2023,5,tt6791350,Action
439,Movie,Target Number One,2023,12,tt8035464,Action
440,Movie,Nelayan,2023,11,tt16310240,Action
441,Movie,Bull,2023,,tt15731658,Action
442,Movie,Révolutionnaire,2023,4,tt9390520,Action
443,Movie,Talk to the Gun: Momentum,2023,8,tt7184154,Action
444,Movie,Father & Soldier,2023,,tt15769220,Action
445,Movie,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,8,tt8589698,Action
446,Movie,38 Minutes,2023,1,tt16349772,Action
447,Movie,Spider-Man: Across the Spider-Verse,2023,6,tt9362722,Action
448,Movie,Raakshasa Kaavyam,2023,10,tt16058988,Action
449,Movie,Mission: Impossible - Dead Reckoning Part One,2023,7,tt9603212,Action
450,Movie,Hidden Strike,2023,7,tt6879446,Action
451,Movie,Topannah,2023,3,tt16361586,Action
452,Movie,Free State,2023,9,tt16428782,Action
453,Movie,King Street,2023,1,tt9910302,Action
454,Movie,Demons of Hell,2023,9,tt16960394,Action
455,Movie,Phoney,2023,4,tt17322408,Action
456,Movie,Spider-man: With Great Power,2023,,tt17338918,Action
457,Movie,Love of Money,2023,2,tt17497862,Action
